計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2025/01/25,給与,350000,三菱UFJ銀行,収入,給与,,0,MF0001
1,2025/01/05,家賃,-85000,三菱UFJ銀行,住宅,家賃,,0,MF0002
1,2025/01/06,電気代,-8500,三菱UFJ銀行,水道・光熱費,電気代,,0,MF0003
1,2025/01/06,ガス代,-4200,三菱UFJ銀行,水道・光熱費,ガス代,,0,MF0004
1,2025/01/06,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,MF0005
1,2025/01/07,スーパー 食材,-6800,楽天カード,食費,食料品,,0,MF0006
1,2025/01/09,コンビニ,-980,楽天カード,食費,食料品,,0,MF0007
1,2025/01/10,ランチ 定食屋,-850,現金,食費,外食,,0,MF0008
1,2025/01/11,居酒屋 新年会,-5500,楽天カード,交際費,飲み会,新年会,0,MF0009
1,2025/01/12,Netflix,-1490,楽天カード,娯楽,動画配信,,0,MF0010
1,2025/01/13,スマホ代,-3200,三菱UFJ銀行,通信費,携帯電話,,0,MF0011
1,2025/01/14,Wi-Fi,-4400,三菱UFJ銀行,通信費,インターネット,,0,MF0012
1,2025/01/15,定期券 JR,-12500,Suica,交通費,電車,,0,MF0013
1,2025/01/16,スーパー 食材,-5400,楽天カード,食費,食料品,,0,MF0014
1,2025/01/17,ラーメン屋,-1100,現金,食費,外食,,0,MF0015
1,2025/01/18,ユニクロ コート,-12900,楽天カード,衣服・美容,衣服,冬物セール,0,MF0016
1,2025/01/19,美容院,-4500,現金,衣服・美容,美容院,,0,MF0017
1,2025/01/20,書籍 技術書,-3200,Amazon,教養・教育,書籍,,0,MF0018
1,2025/01/21,カフェ,-680,現金,食費,カフェ,,0,MF0019
1,2025/01/22,ドラッグストア,-2300,楽天カード,日用品,日用品,,0,MF0020
1,2025/01/23,映画館,-1800,楽天カード,娯楽,映画,,0,MF0021
1,2025/01/24,スーパー 食材,-7200,楽天カード,食費,食料品,,0,MF0022
1,2025/01/26,飲み会 同僚,-4800,現金,交際費,飲み会,,0,MF0023
1,2025/01/28,保険料,-8000,三菱UFJ銀行,保険,生命保険,,0,MF0024
1,2025/01/30,ゲーム課金,-3000,楽天カード,趣味,ゲーム,,0,MF0025
1,2025/02/25,給与,350000,三菱UFJ銀行,収入,給与,,0,MF0026
1,2025/02/03,副業収入,45000,PayPay銀行,収入,副業,,0,MF0027
1,2025/02/05,家賃,-85000,三菱UFJ銀行,住宅,家賃,,0,MF0028
1,2025/02/06,電気代,-9800,三菱UFJ銀行,水道・光熱費,電気代,暖房使いすぎ,0,MF0029
1,2025/02/06,ガス代,-5100,三菱UFJ銀行,水道・光熱費,ガス代,,0,MF0030
1,2025/02/06,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,MF0031
1,2025/02/07,スーパー 食材,-7500,楽天カード,食費,食料品,,0,MF0032
1,2025/02/08,焼肉 デート,-8900,楽天カード,食費,外食,バレンタインデート,0,MF0033
1,2025/02/10,コンビニ,-1200,現金,食費,食料品,,0,MF0034
1,2025/02/11,スマホ代,-3200,三菱UFJ銀行,通信費,携帯電話,,0,MF0035
1,2025/02/11,Wi-Fi,-4400,三菱UFJ銀行,通信費,インターネット,,0,MF0036
1,2025/02/12,Netflix,-1490,楽天カード,娯楽,動画配信,,0,MF0037
1,2025/02/13,Spotify,-980,楽天カード,娯楽,音楽配信,,0,MF0038
1,2025/02/14,バレンタイン プレゼント,-15000,楽天カード,交際費,プレゼント,バレンタイン,0,MF0039
1,2025/02/15,定期券 JR,-12500,Suica,交通費,電車,,0,MF0040
1,2025/02/16,スーパー 食材,-6200,楽天カード,食費,食料品,,0,MF0041
1,2025/02/17,カフェ,-780,現金,食費,カフェ,,0,MF0042
1,2025/02/18,居酒屋,-6200,楽天カード,交際費,飲み会,,0,MF0043
1,2025/02/19,ドラッグストア,-1800,楽天カード,日用品,日用品,,0,MF0044
1,2025/02/20,書籍,-1600,Amazon,教養・教育,書籍,,0,MF0045
1,2025/02/21,ゲーム 新作,-7800,楽天カード,趣味,ゲーム,新作購入,0,MF0046
1,2025/02/22,洋服 セール,-8500,楽天カード,衣服・美容,衣服,,0,MF0047
1,2025/02/23,スーパー 食材,-5800,楽天カード,食費,食料品,,0,MF0048
1,2025/02/24,飲み会 大学友人,-7500,現金,交際費,飲み会,大学同窓会,0,MF0049
1,2025/02/26,保険料,-8000,三菱UFJ銀行,保険,生命保険,,0,MF0050
1,2025/02/27,タクシー,-2400,楽天カード,交通費,タクシー,終電逃し,0,MF0051
1,2025/03/25,給与,355000,三菱UFJ銀行,収入,給与,昇給,0,MF0052
1,2025/03/05,家賃,-85000,三菱UFJ銀行,住宅,家賃,,0,MF0053
1,2025/03/06,電気代,-7200,三菱UFJ銀行,水道・光熱費,電気代,,0,MF0054
1,2025/03/06,ガス代,-3800,三菱UFJ銀行,水道・光熱費,ガス代,,0,MF0055
1,2025/03/06,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,MF0056
1,2025/03/07,スーパー 食材,-6300,楽天カード,食費,食料品,,0,MF0057
1,2025/03/08,ランチ,-900,現金,食費,外食,,0,MF0058
1,2025/03/09,スマホ代,-3200,三菱UFJ銀行,通信費,携帯電話,,0,MF0059
1,2025/03/09,Wi-Fi,-4400,三菱UFJ銀行,通信費,インターネット,,0,MF0060
1,2025/03/10,Netflix,-1490,楽天カード,娯楽,動画配信,,0,MF0061
1,2025/03/11,定期券 JR,-12500,Suica,交通費,電車,,0,MF0062
1,2025/03/12,スーパー 食材,-5900,楽天カード,食費,食料品,,0,MF0063
1,2025/03/13,カフェ,-620,現金,食費,カフェ,,0,MF0064
1,2025/03/14,居酒屋 送別会,-6500,楽天カード,交際費,飲み会,送別会,0,MF0065
1,2025/03/15,引越し祝い,-5000,現金,交際費,プレゼント,,0,MF0066
1,2025/03/16,ドラッグストア,-2100,楽天カード,日用品,日用品,,0,MF0067
1,2025/03/17,スーパー 食材,-7100,楽天カード,食費,食料品,,0,MF0068
1,2025/03/18,美容院,-4500,現金,衣服・美容,美容院,,0,MF0069
1,2025/03/19,春物 ジャケット,-9800,楽天カード,衣服・美容,衣服,,0,MF0070
1,2025/03/20,映画館,-1800,楽天カード,娯楽,映画,,0,MF0071
1,2025/03/21,保険料,-8000,三菱UFJ銀行,保険,生命保険,,0,MF0072
1,2025/03/22,ゲーム課金,-2000,楽天カード,趣味,ゲーム,,0,MF0073
1,2025/03/28,花見 食材,-3500,楽天カード,食費,食料品,花見用,0,MF0074
1,0,三菱UFJ→楽天証券,50000,三菱UFJ銀行,振替,振替,,1,MF0075
